,semantic/Annthyroid/Annthyroid_withoutdupl_norm_07.arff,semantic/Arrhythmia/Arrhythmia_withoutdupl_norm_46.arff,semantic/Cardiotocography/Cardiotocography_withoutdupl_norm_22.arff,semantic/HeartDisease/HeartDisease_withoutdupl_norm_44.arff,semantic/Hepatitis/Hepatitis_withoutdupl_norm_16.arff,semantic/InternetAds/InternetAds_withoutdupl_norm_19.arff,semantic/PageBlocks/PageBlocks_withoutdupl_norm_09.arff,semantic/Parkinson/Parkinson_withoutdupl_norm_75.arff,semantic/Pima/Pima_withoutdupl_norm_35.arff,semantic/SpamBase/SpamBase_withoutdupl_norm_40.arff,semantic/Stamps/Stamps_withoutdupl_norm_09.arff,semantic/Wilt/Wilt_withoutdupl_norm_05.arff
<class 'pyod.models.abod.ABOD'>,0.6778645722414836,0.7248328823810283,0.48409699362473435,0.6287222222222222,0.6486796785304247,0.6571512624476248,0.7013070556914144,0.625141723356009,0.6704925373134328,0.40259940365347063,0.7036225075686398,0.586005694137154
<class 'pyod.models.knn.KNN'>,"[0.6728163431040994, 2]","[0.7606040108228554, 43]","[0.5576807887828659, 69]","[0.6998888888888889, 68]","[0.7898966704936854, 25]","[0.722096574522501, 13]","[0.8728066159906518, 69]","[0.7373866213151927, 5]","[0.7360373134328357, 67]","[0.6504956282371211, 39]","[0.919093851132686, 63]","[0.5613313841120268, 2]"
<class 'pyod.models.lof.LOF'>,"[0.7021573204078677, 11]","[0.7550135285691548, 48]","[0.6023545251885496, 69]","[0.6398333333333334, 69]","[0.8036739380022963, 50]","[0.7026641658050825, 69]","[0.8105893596430995, 69]","[0.638888888888889, 5]","[0.6717089552238806, 69]","[0.47803057218356315, 2]","[0.8232592128614677, 69]","[0.6699183067021256, 5]"
<class 'pyod.models.cof.COF'>,"[0.6683184116897094, 23]","[0.7296673563584275, 7]","[0.5679351222967624, 18]","[0.5364444444444444, 24]","[0.5223880597014925, 23]","[0.692558973172988, 24]","[0.6909518015684668, 22]","[0.6420068027210885, 15]","[0.5918582089552239, 24]","[0.4993091078550373, 2]","[0.6631172356195845, 24]","[0.6566527412204013, 6]"
<class 'pyod.models.kde.KDE'>,0.5009336320501572,0.6496200063663855,0.6215714717279887,0.6605,0.6509758897818598,0.6521926184905045,0.8768645119321536,0.5936791383219955,0.6944925373134329,0.6206996234196063,0.9147092598392317,0.3347855828131903
