,ALOI_withoutdupl_norm.arff,,Glass_withoutdupl_norm.arff,,Ionosphere_withoutdupl_norm.arff,,KDDCup99_withoutdupl_norm_idf.arff,,Lymphography_withoutdupl_norm_idf.arff,,PenDigits_withoutdupl_norm_v10.arff,,Shuttle_withoutdupl_norm_v10.arff,,Waveform_withoutdupl_norm_v10.arff,,WBC_withoutdupl_norm_v10.arff,,WDBC_withoutdupl_norm_v10.arff,,WPBC_withoutdupl_norm.arff,
ABOD,76.8%,,84.9%,,92.6%,,77.5%,,97.4%,,95.9%,,31.0%,,64.7%,,93.8%,,92.5%,,47.7%,
KNN,74.6%,2,87.4%,10,89.6%,4,97.0%,69,100.0%,7,99.1%,11,84.7%,4,78.6%,65,99.7%,24,99.0%,69,53.1%,18
LOF,81.4%,7,86.7%,13,87.1%,10,67.9%,45,100.0%,47,97.1%,55,84.1%,7,76.5%,69,99.7%,65,99.1%,69,52.7%,34
COF,80.4%,,85.5%,,85.9%,,55.6%,,99.2%,,92.4%,,35.5%,,68.3%,,76.0%,,94.6%,,47.4%,
