,ROC AUC,k
0,0.7132190713087033,31.0
1,0.7529842431959255,70.0
2,0.5797845743572649,69.0
3,0.5631666666666668,68.0
4,0.746268656716418,64.0
5,0.6820669178864885,70.0
6,0.75350134319548,70.0
7,0.5250850340136055,11.0
8,0.6162089552238805,70.0
9,0.5069373110501278,2.0
10,0.7368201273619375,70.0
11,0.7020557233925322,6.0
