,mean,std,min,25%,50%,75%,max
KNN,0.84842785,0.02099094077970624,0.7837,0.83436875,0.8486124999999999,0.86323125,0.9048750000000001
LOF,0.6297545250000001,0.05919294525636582,0.4383,0.5879750000000001,0.62795,0.6732406249999999,0.7814375
ABOD,0.8065791999999999,0.02367121294959364,0.7328999999999999,0.7911374999999999,0.8081499999999999,0.822075,0.863275
COF,0.5056550750000001,0.025199590289494624,0.43323750000000005,0.48914375,0.5050874999999999,0.5219999999999999,0.5772125
CDF,0.8910238999999999,0.015182010759164375,0.8484999999999999,0.88105,0.8906999999999999,0.9021375,0.934375
