,semantic/Annthyroid/Annthyroid_withoutdupl_norm_07.arff,semantic/Arrhythmia/Arrhythmia_withoutdupl_norm_46.arff,semantic/Cardiotocography/Cardiotocography_withoutdupl_norm_22.arff,semantic/HeartDisease/HeartDisease_withoutdupl_norm_44.arff,semantic/Hepatitis/Hepatitis_withoutdupl_norm_16.arff,semantic/InternetAds/InternetAds_withoutdupl_norm_19.arff,semantic/PageBlocks/PageBlocks_withoutdupl_norm_09.arff,semantic/Parkinson/Parkinson_withoutdupl_norm_75.arff,semantic/Pima/Pima_withoutdupl_norm_35.arff,semantic/SpamBase/SpamBase_withoutdupl_norm_40.arff,semantic/Stamps/Stamps_withoutdupl_norm_09.arff,semantic/Wilt/Wilt_withoutdupl_norm_05.arff
<class 'pyod.models.abod.ABOD'>,0.6778645722414836,0.7248328823810283,0.48409699362473435,0.6287222222222222,0.6486796785304247,0.6571512624476248,0.7013070556914144,0.625141723356009,0.6704925373134328,0.40259940365347063,0.7036225075686398,0.586005694137154
<class 'pyod.models.knn.KNN'>,"[0.648972664003203, 2]","[0.7520491803278688, 61]","[0.6458576399016626, 69]","[0.6806944444444445, 67]","[0.7858783008036739, 22]","[0.722096574522501, 13]","[0.8805337043684974, 69]","[0.6523526077097505, 5]","[0.7307014925373134, 69]","[0.5734725216938956, 64]","[0.9011379058356822, 16]","[0.5519717954272905, 2]"
<class 'pyod.models.lof.LOF'>,"[0.6742441924849435, 11]","[0.7423802323730702, 69]","[0.6102233426392767, 69]","[0.6144444444444445, 68]","[0.8036739380022961, 47]","[0.686527316754639, 69]","[0.7863062325073384, 49]","[0.6138038548752834, 5]","[0.6641268656716417, 69]","[0.49516222359602236, 2]","[0.7560288130284998, 69]","[0.6445697582976952, 4]"
<class 'pyod.models.cof.COF'>,"[0.6683184116897094, 23]","[0.7296673563584275, 7]","[0.5679351222967624, 18]","[0.5364444444444444, 24]","[0.5223880597014925, 23]","[0.692558973172988, 24]","[0.6909518015684668, 22]","[0.6420068027210885, 15]","[0.5918582089552239, 24]","[0.4993091078550373, 2]","[0.6631172356195845, 24]","[0.6566527412204013, 6]"
<class 'pyod.models.kde.KDE'>,0.45821087931215626,0.7498806302721629,0.7889625609400391,0.6482222222222223,0.7278989667049369,0.6639056293192578,0.889948721655363,0.4061791383219954,0.6677611940298508,0.5506560000301566,0.8835995406618644,0.34797012027969165
