,ALOI_withoutdupl_norm.arff,,Glass_withoutdupl_norm.arff,,Ionosphere_withoutdupl_norm.arff,,KDDCup99_withoutdupl_norm_idf.arff,,Lymphography_withoutdupl_norm_idf.arff,,PenDigits_withoutdupl_norm_v10.arff,,Shuttle_withoutdupl_norm_v10.arff,,Waveform_withoutdupl_norm_v10.arff,,WBC_withoutdupl_norm_v10.arff,,WDBC_withoutdupl_norm_v10.arff,,WPBC_withoutdupl_norm.arff,
norm_gen,0.745448151,3,0.872357724,10,0.908977072,2,0.968097489,69,1,19,0.982438058,9,0.8455,5,0.783211188,68,0.994366197,9,0.976610644,9,0.530999014,12
t_gen,0.745650131,3,0.875880759,2,0.908977072,2,0.96843148,68,0.998826291,6,0.982531986,10,0.850692308,5,0.784563267,64,0.996948357,23,0.983613445,46,0.53423982,20
laplace_gen,0.745455103,2,0.880487805,2,0.90686067,2,0.967350406,69,0.998239437,31,0.983879976,14,0.845846154,5,0.784872869,61,0.996948357,32,0.982913165,42,0.530858109,26
cauchy_gen,0.745541802,2,0.875880759,11,0.905590829,2,0.962628097,69,1,8,0.987279143,9,0.847192308,5,0.784669459,65,0.996478873,31,0.982913165,40,0.53423982,20
logistic_gen,0.745232357,3,0.876422764,2,0.90675485,2,0.967412706,69,1,15,0.984098294,11,0.845423077,5,0.78581364,68,0.99342723,10,0.9732493,9,0.531844441,20
skewnorm_gen,0.74502852,3,0.876151762,10,0.908042328,2,0.966584382,69,1,8,0.987388302,15,0.845653846,5,0.78550703,69,0.996244131,60,0.986834734,43,0.531703537,26
