,ALOI_withoutdupl_norm.arff,,Glass_withoutdupl_norm.arff,,Ionosphere_withoutdupl_norm.arff,,KDDCup99_withoutdupl_norm_idf.arff,,Lymphography_withoutdupl_norm_idf.arff,,PenDigits_withoutdupl_norm_v10.arff,,Shuttle_withoutdupl_norm_v10.arff,,Waveform_withoutdupl_norm_v10.arff,,WBC_withoutdupl_norm_v10.arff,,WDBC_withoutdupl_norm_v10.arff,,WPBC_withoutdupl_norm.arff,
,ROC AUC,k,ROC AUC,k,ROC AUC,k,ROC AUC,k,ROC AUC,k,ROC AUC,k,ROC AUC,k,ROC AUC,k,ROC AUC,k,ROC AUC,k,ROC AUC,k
norm_gen,74.5%,3,87.2%,10,90.9%,2,96.8%,69,100.0%,19,98.2%,9,84.6%,5,78.3%,68,99.4%,9,97.7%,9,53.1%,12
t_gen,74.6%,3,87.6%,2,90.9%,2,96.8%,68,99.9%,6,98.3%,10,85.1%,5,78.5%,64,99.7%,23,98.4%,46,53.4%,20
laplace_gen,74.5%,2,88.0%,2,90.7%,2,96.7%,69,99.8%,31,98.4%,14,84.6%,5,78.5%,61,99.7%,32,98.3%,42,53.1%,26
cauchy_gen,74.6%,2,87.6%,11,90.6%,2,96.3%,69,100.0%,8,98.7%,9,84.7%,5,78.5%,65,99.6%,31,98.3%,40,53.4%,20
logistic_gen,74.5%,3,87.6%,2,90.7%,2,96.7%,69,100.0%,15,98.4%,11,84.5%,5,78.6%,68,99.3%,10,97.3%,9,53.2%,20
skewnorm_gen,74.5%,3,87.6%,10,90.8%,2,96.7%,69,100.0%,8,98.7%,15,84.6%,5,78.6%,69,99.6%,60,98.7%,43,53.2%,26
